Pert,Kpa,Tprot
AC220,CAMK2A,ARHGEF6
AC220,CAMK2A,BRAF
AC220,CAMK2A,C9orf78
AC220,CAMK2A,CLSPN
AC220,CAMK2A,DDX46
AC220,CAMK2A,EIF5B
AC220,CAMK2A,FGD6
AC220,CAMK2A,GCFC2
AC220,CAMK2A,GOLGA5
AC220,CAMK2A,HTT
AC220,CAMK2A,MFAP1
AC220,CAMK2A,MTMR7
AC220,CAMK2A,NCL
AC220,CAMK2A,NELFE
AC220,CAMK2A,NFATC3
AC220,CAMK2A,NSUN2
AC220,CAMK2A,PFKL
AC220,CAMK2A,PPP1R13L
AC220,CAMK2A,RET
AC220,CAMK2A,RIC8A
AC220,CAMK2A,RICTOR
AC220,CAMK2A,RPL27A
AC220,CAMK2A,SLC39A7
AC220,CAMK2A,TNKS1BP1
AC220,CAMK2A,UBE4B
AC220,CAMK2A,WDR33
AC220,CAMK2B,ANKRD34A
AC220,CAMK2B,ARAP3
AC220,CAMK2B,ARHGEF6
AC220,CAMK2B,BRAF
AC220,CAMK2B,C9orf78
AC220,CAMK2B,CD2AP
AC220,CAMK2B,DDX46
AC220,CAMK2B,EIF5B
AC220,CAMK2B,FGD6
AC220,CAMK2B,GCFC2
AC220,CAMK2B,HMGA1
AC220,CAMK2B,HTT
AC220,CAMK2B,INCENP
AC220,CAMK2B,MFAP1
AC220,CAMK2B,MTMR7
AC220,CAMK2B,NACA
AC220,CAMK2B,NCL
AC220,CAMK2B,NSUN2
AC220,CAMK2B,PDAP1
AC220,CAMK2B,PNISR
AC220,CAMK2B,PPP1R12A
AC220,CAMK2B,PPP1R13L
AC220,CAMK2B,RIC8A
AC220,CAMK2B,RICTOR
AC220,CAMK2B,RPL27A
AC220,CAMK2B,SLC39A7
AC220,CAMK2B,SMARCAD1
AC220,CAMK2B,TNKS1BP1
AC220,CAMK2B,UBE4B
AC220,CAMK2B,WASHC2A
AC220,CAMK2B,WDR33
AC220,CAMK2D,ANKRD34A
AC220,CAMK2D,ARAP3
AC220,CAMK2D,BAZ1B
AC220,CAMK2D,BRAF
AC220,CAMK2D,CCDC61
AC220,CAMK2D,E2F7
AC220,CAMK2D,EIF5B
AC220,CAMK2D,FGD6
AC220,CAMK2D,GLCCI1
AC220,CAMK2D,HTT
AC220,CAMK2D,MEX3C
AC220,CAMK2D,MTMR7
AC220,CAMK2D,NTHL1
AC220,CAMK2D,PFKL
AC220,CAMK2D,PKP4
AC220,CAMK2D,PPP1R13L
AC220,CAMK2D,RET
AC220,CAMK2D,RPL27A
AC220,CAMK2D,SRRM2
AC220,CAMK2D,TNKS1BP1
AC220,CAMK2D,UBE4B
AC220,CAMK2D,UHRF1BP1
AC220,CAMK2D,WDR33
AC220,CAMK2G,AATF
AC220,CAMK2G,AKAP8
AC220,CAMK2G,AP3B1
AC220,CAMK2G,AP3B2
AC220,CAMK2G,BOP1
AC220,CAMK2G,BRAF
AC220,CAMK2G,BRD3
AC220,CAMK2G,CD2BP2
AC220,CAMK2G,CFDP1
AC220,CAMK2G,CHD8
AC220,CAMK2G,DCP2
AC220,CAMK2G,DDX46
AC220,CAMK2G,DVL2
AC220,CAMK2G,DVL3
AC220,CAMK2G,EEF1B2
AC220,CAMK2G,EIF5B
AC220,CAMK2G,HDAC1
AC220,CAMK2G,HDAC2
AC220,CAMK2G,HDGF
AC220,CAMK2G,HIRIP3
AC220,CAMK2G,HMGA1
AC220,CAMK2G,INCENP
AC220,CAMK2G,INTS3
AC220,CAMK2G,MCM3
AC220,CAMK2G,MFAP1
AC220,CAMK2G,NAA30
AC220,CAMK2G,NCL
AC220,CAMK2G,NUCKS1
AC220,CAMK2G,OSBPL1A
AC220,CAMK2G,PDAP1
AC220,CAMK2G,PNISR
AC220,CAMK2G,PPP6R1
AC220,CAMK2G,PTGES3
AC220,CAMK2G,RAPGEF6
AC220,CAMK2G,RFFL
AC220,CAMK2G,RIC8A
AC220,CAMK2G,RIOK1
AC220,CAMK2G,RRN3
AC220,CAMK2G,RRP12
AC220,CAMK2G,SF3B2
AC220,CAMK2G,SLC4A1AP
AC220,CAMK2G,TMPO
AC220,CAMK2G,TNKS1BP1
AC220,CAMK2G,TOP2B
AC220,CAMK2G,TPD52L1
AC220,CAMK2G,UBE4B
AC220,CAMK2G,WASHC2A
AC220,CAMK2G,WDR33
AC220,CAMK2G,XPC
AC220,CAMK4,ANKRD34A
AC220,CAMK4,ARHGAP19
AC220,CAMK4,ARHGEF5
AC220,CAMK4,CDK13
AC220,CAMK4,CHERP
AC220,CAMK4,E2F7
AC220,CAMK4,EIF5B
AC220,CAMK4,EMSY
AC220,CAMK4,FOXP4
AC220,CAMK4,KCTD3
AC220,CAMK4,KIF4A
AC220,CAMK4,KNL1
AC220,CAMK4,MAP7D1
AC220,CAMK4,MEX3C
AC220,CAMK4,MYO10
AC220,CAMK4,NCAPH
AC220,CAMK4,NELFE
AC220,CAMK4,NIFK
AC220,CAMK4,NUMBL
AC220,CAMK4,PHACTR2
AC220,CAMK4,PPP1R13L
AC220,CAMK4,PRKD1
AC220,CAMK4,PRKD2
AC220,CAMK4,PRR12
AC220,CAMK4,RPL27A
AC220,CAMK4,RPL28
AC220,CAMK4,SON
AC220,CAMK4,SRRM1
AC220,CAMKK1,CHD4
AC220,CAMKK1,EIF4EBP3
AC220,CAMKK1,MIEF1
AC220,CAMKK1,PACSIN2
AC220,CAMKK1,PAK4
AC220,CAMKK2,BORCS6
AC220,CAMKK2,CCNY
AC220,CAMKK2,CHD1
AC220,CAMKK2,EIF4EBP3
AC220,CAMKK2,MIEF1
AC220,CAMKK2,NOL8
AC220,CAMKK2,PAK4
AC220,CAMKK2,SRRM1
AC220,CAMKK2,TGOLN2
AC220,CDC7,AATF
AC220,CDC7,AKAP8
AC220,CDC7,ARHGEF17
AC220,CDC7,ATRIP
AC220,CDC7,CDC25B
AC220,CDC7,CELF1
AC220,CDC7,CHD8
AC220,CDC7,ECE1
AC220,CDC7,GCFC2
AC220,CDC7,GOLGA5
AC220,CDC7,LARP7
AC220,CDC7,LIG1
AC220,CDC7,MSH6
AC220,CDC7,NCL
AC220,CDC7,PCM1
AC220,CDC7,PDCD4
AC220,CDC7,PRDX2
AC220,CDC7,PUS1
AC220,CDC7,SHROOM3
AC220,CDC7,XRN2
AC220,CDK1,ARID3A
AC220,CDK1,ATAD2
AC220,CDK1,BRME1
AC220,CDK1,BUD13
AC220,CDK1,FBXW5
AC220,CDK1,FNDC3A
AC220,CDK1,KANK2
AC220,CDK1,KAT5
AC220,CDK1,MACF1
AC220,CDK1,NCOA2
AC220,CDK1,PLAA
AC220,CDK1,PLCH1
AC220,CDK1,RAB44
AC220,CDK1,RBMX2
AC220,CDK1,RECQL5
AC220,CDK1,RGPD4
AC220,CDK1,RIF1
AC220,CDK1,RPRD2
AC220,CDK1,SSH3
AC220,CDK1,TACC2
AC220,CDK1,ZC3H18
AC220,CDK10,ANAPC1
AC220,CDK10,ANKRD34A
AC220,CDK10,BRME1
AC220,CDK10,CDK12
AC220,CDK10,CDK13
AC220,CDK10,CHERP
AC220,CDK10,CPEB4
AC220,CDK10,GTF2I
AC220,CDK10,HAUS6
AC220,CDK10,INTS3
AC220,CDK10,LBR
AC220,CDK10,MICAL3
AC220,CDK10,PELP1
AC220,CDK10,PLCH1
AC220,CDK10,PRPF4B
AC220,CDK10,PTK2
AC220,CDK10,RAB44
AC220,CDK10,RBMX2
AC220,CDK10,SCAF11
AC220,CDK10,SRRM1
AC220,CDK10,SRRM2
AC220,CDK10,SRSF2
AC220,CDK10,TGFB1I1
AC220,CDK10,TXNRD3
AC220,CDK10,ZC3H13
AC220,CDK10,ZC3H18
AC220,CDK12,ANKRD34A
AC220,CDK12,ARID3A
AC220,CDK12,ASH1L
AC220,CDK12,ATAD2
AC220,CDK12,BRME1
AC220,CDK12,BUD13
AC220,CDK12,CAMSAP3
AC220,CDK12,CDK13
AC220,CDK12,ITPKB
AC220,CDK12,KAT5
AC220,CDK12,LBR
AC220,CDK12,LMNB2
AC220,CDK12,MIA3
AC220,CDK12,MTCL1
AC220,CDK12,RAB3IL1
AC220,CDK12,RAB44
AC220,CDK12,SRRM1
AC220,CDK12,SRRM2
AC220,CDK12,TBX2
AC220,CDK12,ZDHHC8
AC220,CDK12,ZNF687
AC220,CDK13,ANAPC1
AC220,CDK13,ARID3A
AC220,CDK13,ASH1L
AC220,CDK13,ATAD2
AC220,CDK13,BRME1
AC220,CDK13,BUD13
AC220,CDK13,CAMSAP3
AC220,CDK13,ITPKB
AC220,CDK13,KANK2
AC220,CDK13,KAT5
AC220,CDK13,LBR
AC220,CDK13,LMNB2
AC220,CDK13,MIA3
AC220,CDK13,MICAL3
AC220,CDK13,MTCL1
AC220,CDK13,PELP1
AC220,CDK13,PLAA
AC220,CDK13,RAB3IL1
AC220,CDK13,RAB44
AC220,CDK13,RBMX2
AC220,CDK13,SRRM2
AC220,CDK13,ZDHHC8
AC220,CDK13,ZNF609
AC220,CDK13,ZNF687
AC220,CDK14,ANKRD34A
AC220,CDK14,BRME1
AC220,CDK14,BRSK2
AC220,CDK14,CDK13
AC220,CDK14,HAUS6
AC220,CDK14,INTS3
AC220,CDK14,KIF26A
AC220,CDK14,KMT2D
AC220,CDK14,KNL1
AC220,CDK14,N4BP3
AC220,CDK14,PLEKHG3
AC220,CDK14,PRPF4B
AC220,CDK14,RAB44
AC220,CDK14,SHANK2
AC220,CDK14,SRRM1
AC220,CDK14,TGFB1I1
AC220,CDK14,ZC3H13
AC220,CDK14,ZC3H18
AC220,CDK14,ZDHHC8
AC220,CDK16,ANKRD34A
AC220,CDK16,BCOR
AC220,CDK16,BRME1
AC220,CDK16,CBX6
AC220,CDK16,GATAD2A
AC220,CDK16,INTS3
AC220,CDK16,KMT2D
AC220,CDK16,KNL1
AC220,CDK16,MAGI3
AC220,CDK16,MKI67
AC220,CDK16,N4BP3
AC220,CDK16,NCOA2
AC220,CDK16,NPDC1
AC220,CDK16,PHF8
AC220,CDK16,RALGPS2
AC220,CDK16,SLX4
AC220,CDK16,TGFB1I1
AC220,CDK16,TP53
AC220,CDK16,ZC3H13
AC220,CDK16,ZC3H18
AC220,CDK16,ZMYND11
AC220,CDK17,ANKRD34A
